"numberplate-search__image-text","mb-0"
"MEE 92","RM 16,800"
"BSE 12","RM 17,800"
"PCJ8","RM 115,999"
"DFP7","RM 103,999"
"PLV36","RM 14,999"
"VMV 2389","RM 1,000"
"VMV 9225","RM 1,000"
"VMV 9973","RM 1,000"
"VMV 9971","RM 1,000"
"VMV 9923","RM 1,300"
"VMV 9922","RM 2,800"
"VMV 9881","RM 1,300"
"VMV 9793","RM 1,000"
"VMV 9681","RM 1,000"
"VMV 9633","RM 1,300"
"VMV 9594","RM 1,000"
"VMV 9593","RM 1,000"
"VMV 9589","RM 1,000"
"VMV 9558","RM 1,000"
"VMV 935","RM 1,600"
"VMV 9297","RM 1,000"
"VMV 926","RM 1,600"
"VMV 9251","RM 1,000"
"VMV 924","RM 1,300"
"VMV 9200","RM 1,300"
"VMV 9190","RM 1,000"
"VMV 9182","RM 1,000"
"VMV 9114","RM 1,000"
"VMV 902","RM 1,600"
"VMV 9004","RM 1,000"
"VMV 8913","RM 1,000"
"VMV 8900","RM 1,300"
"VMV 8861","RM 1,000"
"VMV 8855","RM 2,800"
"VMV 8812","RM 1,000"
"VMV 8797","RM 1,000"
"VMV 879","RM 1,600"
"VMV 8782","RM 1,000"
"VMV 8755","RM 1,000"
"VMV 8667","RM 1,000"
"VMV 8663","RM 1,300"
"BSU 9998","RM 3,800"
"BSU 9888","RM 3,800"
"VMV 8611","RM 1,000"
"BSU 7227","RM 3,500"
"VMV 8606","RM 1,000"
"BSU 6888","RM 3,800"
"BSU 6699","RM 3,500"
"VMV 859","RM 1,600"
"BSU 6668","RM 3,800"
"BSU 3288","RM 3,500"
"VMV 8584","RM 1,000"
"VMV 8539","RM 1,000"
"BSU 3003","RM 3,800"
"VMV 844","RM 1,600"
"BSU 2626","RM 3,800"
"BSU 2266","RM 3,800"
"VMV 8116","RM 1,000"
"BSU 1888","RM 4,300"
"VMV 7898","RM 1,000"
"BSU 1881","RM 3,800"
"BSU 1212","RM 5,800"
"VMV 7882","RM 1,000"
"BSU 900","RM 4,500"
"BSU 886","RM 3,500"
"BSU 828","RM 5,800"
"VMV 7879","RM 1,000"
"BSU 800","RM 4,500"
"BSU 787","RM 3,800"
"VMV 7867","RM 1,000"
"BSU 585","RM 3,500"
"VMV 7857","RM 1,000"
"BSU 505","RM 3,500"
"BSU 177","RM 3,500"
"VMV 7787","RM 1,600"
"BSU 155","RM 3,800"
"VMV 7770","RM 1,600"
"BSU 133","RM 3,800"
"BSU 79","RM 10,800"
"VMV 7696","RM 1,000"
"BSU 56","RM 8,800"
"RBE 7227","RM 3,500"
"VMV 7571","RM 1,000"
"VEW 93","RM 13,800"
"WGE 8","RM 138,000"
"VMV 7559","RM 1,000"
"ADE 7","RM 118,000"
"VMV 7529","RM 1,000"
"VQV 666","RM 23,800"
"VMV 7479","RM 1,000"
"VMV 7477","RM 1,300"
"VMV 7475","RM 1,000"
"VMV 7424","RM 1,000"
"VMV 7372","RM 1,000"
"JYH 888","RM 21,800"
"JYV 9988","RM 3,800"
"JYV 8899","RM 3,800"
"JYV 6888","RM 3,800"
"PNN 2222","RM 11,800"
"DCR 3333","RM 11,000"
"JYV 5000","RM 3,300"
"JYV 2288","RM 3,800"
"JYV 3131","RM 3,300"
"JYV 2233","RM 3,300"
"JYV 1188","RM 4,300"
"JYV 1000","RM 4,300"
"JYR 999","RM 20,300"
"JYV 966","RM 3,800"
"JYV 898","RM 4,300"
"JYV 828","RM 4,300"
"JYV 805","RM 3,800"
"JYV 688","RM 4,800"
"SAC 333 A","RM 11,800"
"JYV 393","RM 3,300"
"JYV 199","RM 3,800"
"JYV 116","RM 3,300"
"JYV 67","RM 8,800"
"VQV 9988","RM 4,800"
"DEP 13","RM 19,800"
"RBA 38","RM 9,800"
"PNL 38","RM 8,800"
"JYG 37","RM 8,300"
"VMB 36","RM 9,800"
"VQB 35","RM 9,800"
"JYA 30","RM 10,800"
"QM 33 T","RM 18,800"
"ADH 45","RM 9,800"
"JYV1103","RM 500"
"MAQ 28","POA"
"NG 77","POA"
"VNS 11","RM 39,000"
"IM 1313","RM 68,000"
"CFD 11","RM 39,000"
"AGY 5","RM 128,000"
"VHW 8777","RM 1,900"
"WXU 88","RM 42,800"
"VLV 3","RM 199,000"
"XOIC 77","RM 43,800"
"JWP 99","RM 51,800"
"VNE 633","RM 2,500"
"VNN 368","RM 2,500"
"VMC 331","RM 1,900"
"VNH 250","RM 1,300"
"VPU 2000","RM 3,300"
"VND 2000","RM 3,300"
"VMA 2500","RM 1,000"
"VMS 2500","RM 1,000"
"K9319","RM 38,800"
"DD9319","RM 28,800"
"VQE99","RM 39,800"
"VQD99","RM 39,800"
"JXJ6668","RM 5,800"
"KEV520","RM 5,800"
"CY 663","POA"
"MX 899","POA"
"TS 1233","POA"
"SMV 32","RM 10,800"
"WKV8888","RM 25,000"
"WH 5","RM 350,000"
"WFR 88","RM 39,800"
"WDR 22","RM 24,800"
"BHA 1111","RM 38,800"
"F 73","RM 178,800"
"SMV 55","RM 23,800"
"SJR 777","RM 18,800"
"SJR 888","RM 24,800"
"VQS 55","RM 39,800"
"VBX 9898","RM 3,300"
"VDA 2628","RM 2,500"
"PPP 1995","RM 2,800"
"QAB 7 N","RM 55,888"
"BQC 3","RM 99,888"
"JUG 8","RM 228,888"
"QS 3 J","RM 64,888"
"QCV 38","RM 12,800"
"VPT 575","RM 3,800"
"APC 2772","RM 3,800"
"APC 2266","RM 3,800"
"VQG 3388","RM 4,800"
"VQG 8883","RM 3,800"
"VPT 228","RM 5,800"
"APC 969","RM 3,800"
"BSH 37","RM 10,800"
"VPT 5005","RM 3,800"
"APC 1717","RM 3,800"
"VPT 1888","RM 4,800"
"VQP 8828","RM 3,800"
"VQG 313","RM 5,800"
"APC 373","RM 3,800"
"VQG 7711","RM 3,800"
"WQR 26","RM 18,800"
"VPA 999","RM 23,800"
"BSH 28","RM 23,800"
"VPT 1991","RM 3,800"
"BSK 116","RM 4,500"
"APC 3377","RM 3,800"
"VQA 7","RM 98,800"
"BSH 9393","RM 3,800"
"VQG 1113","RM 4,300"
"APC 1112","RM 3,500"
"VQP 7117","RM 4,300"
"KGA 72","RM 10,800"
"APC 575","RM 3,800"
"VQA 27","RM 18,800"
"BSH 52","RM 8,800"
"BSK 98","RM 14,800"
"BSK 2255","RM 3,800"
"ANX 2288","RM 2,800"
"QCV 13","RM 19,800"
"VQG 2112","RM 4,500"
"QCV 12","RM 19,800"
"VPA 3003","RM 2,500"
"VQG 9009","RM 3,800"
"VQA 66","RM 30,800"
"APC 1771","RM 3,800"
"VPM 6666","RM 15,800"
"AKD 38","RM 11,800"
"VPA 9889","RM 2,800"
"QRW 28","RM 23,800"
"VQG 38","RM 13,800"
"VPT 998","RM 4,500"
"VPT 919","RM 5,800"
"VPS 8988","RM 3,800"
"VQF 89","RM 13,800"
"DFN 11","RM 42,800"
"VPS 9333","RM 3,500"
"APG 6363","RM 4,300"
"QRW 7","RM 96,800"
"VQP 232","RM 3,800"
"MDW 42","RM 7,800"
"APG 8181","RM 3,800"
"PRP 6633","RM 2,800"
"APG 8686","RM 4,300"
"APG 8866","RM 3,800"
"VNX 8886","RM 3,800"
"VPS 8828","RM 3,800"
"DFN 38","RM 12,800"
"KFM 53","RM 6,800"
"VQP 3399","RM 3,800"
"QCV 81","RM 10,800"
"QCV 80","RM 11,800"
"VPS 9933","RM 3,800"
"APG 1717","RM 3,800"
"VQF 1661","RM 3,800"
"APG 8989","RM 4,300"
"VQF 63","RM 15,800"
"APG 1331","RM 3,800"
"APG 2223","RM 3,500"
"VQF 939","RM 3,800"
"VQF 65","RM 8,800"
"VJQ 92","RM 9,800"
"ANX 1688","RM 3,800"
"VPS 8833","RM 3,800"
"VPS 9000","RM 4,800"
"VQF 1818","RM 6,300"
"VNX 363","RM 3,800"
"VQP 3232","RM 3,800"
"VNX 1661","RM 3,800"
"VQF 35","RM 12,800"
"DFN 222","RM 14,800"
"APG 9996","RM 3,800"
"APG 8883","RM 3,500"
"APG 8333","RM 3,800"
"VNX 886","RM 3,800"
"MDW 72","RM 10,800"
"VNX 373","RM 3,800"
"QRV 13","RM 19,800"
"APG 8383","RM 3,800"
"APG 8822","RM 3,800"
"APG 6336","RM 3,800"
"QCV 63","RM 14,800"
"SJK 9","RM 132,888"
"KFW 8","RM 88,888"
"VQF 3131","RM 4,300"
"MEC 71","RM 11,800"
"SJL 32","RM 10,800"
"VGE 660","RM 3,388"
"VPG 2626","RM 4,300"
"QMU 9","RM 113,888"
"DFA 9","RM 132,888"
"AMW 6611","RM 3,888"
"JXT 9","RM 152,888"
"VQF 3131","RM 4,300"
"RBA 8787","RM 4,588"
"VPG 2688","RM 3,800"
"VQE 1","RM 375,888"
"TDB 8","RM 116,888"
"ANC 6611","RM 3,888"
"VPG 2","RM 118,000"
"KBN 1","RM 365,888"
"SJL 71","RM 10,800"
"VQF 6969","RM 3,800"
"SJL 98","RM 14,800"
"SJK 9","RM 132,888"
"QAB 9 K","RM 65,888"
"MEC 95","RM 15,800"
"TCS 8787","RM 4,888"
"VPG 1118","RM 5,800"
"VPG 1010","RM 5,800"
"PLJ 9","RM 119,888"
"SU 9 P","RM 81,588"
"UITM 9","RM 112,888"
"KFW 8","RM 88,888"
"QMU 9","RM 113,888"
"WAU 9","RM 225,888"
"QRV 9","RM 122,888"
"JYL 8787","RM 3,888"
"SU 660 N","RM 3,888"
"SD 660 U","RM 3,888"
"VNT 181","RM 3,300"
"SWM 8787","RM 3,888"
"PEY 8","RM 92,888"
"VPG 8111","RM 3,800"
"VHN 660","RM 3,388"
"PJP 1","RM 455,888"
"KGC 8787","RM 3,888"
"PPD 1","RM 696,888"
"VNE 8787","RM 3,888"
"KFR 8","RM 96,888"
"MEC 12","RM 23,800"
"SWQ 8787","RM 3,888"
"SP 3323","RM 5,500"
"SP 6226","RM 5,800"
"SP 9191","RM 9,800"
"SP 9933","RM 7,800"
"FH 128","RM 16,800"
"FH 1881","RM 9,800"
"SP 8822","RM 6,800"
"FH 2828","RM 16,800"
"BRK 6611","RM 3,888"
"SP 3332","RM 5,500"
"SP 3377","RM 6,300"
"VQS 80","RM 13,800"
"SP 2882","RM 6,800"
"DFD 6611","RM 4,588"
"DEF 6611","RM 3,888"
"SP 2552","RM 5,500"
"DFP 9696","RM 3,800"
"FH 188","RM 16,800"
"SP 8333","RM 5,500"
"FB 90","RM 43,800"
"SP 767","RM 6,800"
"SP 6622","RM 5,500"
"FH 3233","RM 4,800"
"BRL 6611","RM 3,888"
"SP 6868","RM 12,800"
"DEF 6611","RM 3,888"
"SP 1331","RM 6,800"
"SP 3383","RM 5,500"
"FH 3133","RM 4,800"
"VQS 999","RM 25,800"
"JFN 6611","RM 4,388"
"BRK 6611","RM 3,888"
"SP 9229","RM 6,500"
"SP 7007","RM 6,500"
"FH 1881","RM 9,800"
"SP 8883","RM 5,500"
"VNJ 8","RM 102,888"
"SP 8833","RM 6,800"
"SP 9933","RM 7,800"
"FB 90","RM 43,800"
"DFD 6611","RM 4,588"
"VQT 95","RM 12,800"
"DFP 83","RM 10,800"
"SP 9191","RM 9,800"
"FH 3311","RM 8,800"
"WQC 8","RM 108,888"
"SP 3773","RM 5,500"
"APK 13","RM 23,800"
"JVQ 6611","RM 3,388"
"FH 1133","RM 9,800"
"VPB 3133","RM 2,300"
"VPC 633","RM 2,300"
"BSG 636","RM 2,800"
"FH 9992","RM 4,800"
"VPB 8811","RM 2,500"
"FH 6226","RM 6,800"
"KFK 3000","RM 3,800"
"BSG 9993","RM 2,300"
"VNW 3993","RM 2,800"
"VPB 6611","RM 2,500"
"VPA 262","RM 2,500"
"BST 288","RM 6,500"
"VNW 638","RM 2,500"
"VPB 636","RM 2,800"
"AMU 96","RM 19,800"
"FH 8558","RM 6,800"
"BST 18","RM 26,800"
"BSG 866","RM 2,300"
"BSH 2299","RM 2,500"
"VPC 3636","RM 2,800"
"PRR 767","RM 2,500"
"VNY 8880","RM 2,500"
"ANW 383","RM 2,800"
"FH 6633","RM 7,800"
"VPB 7997","RM 2,500"
"BST 118","RM 9,800"
"VPB 7788","RM 2,500"
"JVU 43","RM 7,800"
"VPC 8877","RM 2,800"
"BSG 3993","RM 2,500"
"VPB 7337","RM 2,500"
"VPC 8288","RM 2,500"
"PRP 163","RM 2,300"
"VPC 8877","RM 2,800"
"VPB 3133","RM 2,300"
"BSH 2020","RM 2,500"
"JVU 43","RM 7,800"
"KFK 113","RM 5,800"
"BST 18","RM 26,800"
"VPB 7337","RM 2,500"
"VNW 2226","RM 2,300"
"VPB 848","RM 2,500"
"VKE 48","RM 7,800"
"VPA 262","RM 2,500"
"BSG 1551","RM 2,500"
"VPB 8811","RM 2,500"
"VNW 320","RM 2,300"
"VNY 8880","RM 2,500"
"FH 6060","RM 6,800"
"FH 8558","RM 6,800"
"JXN 9","RM 152,888"
"NEH 2727","RM 4,500"
"BDS 9","RM 231,888"
"ADN 8","RM 136,888"
"JXQ 6611","RM 3,388"
"JYC 6611","RM 3,388"
"SP 3366","RM 6,300"
"NEH 1818","RM 5,800"
"JXH 6611","RM 4,588"
"JVR 6611","RM 3,388"
"JYD 6611","RM 3,388"
"JVX 6611","RM 3,388"
"NEH 118","RM 9,800"
"TDC 8","RM 93,888"
"VNW 9333","RM 4,388"
"VQJ 238","RM 3,500"
"ANF 63","RM 14,800"
"AMB 9","RM 139,888"
"NEH 168","RM 8,800"
"JVJ 9","RM 302,888"
"BLA 8","RM 116,888"
"VNR 151","RM 2,800"
"JXW 6611","RM 3,388"
"JWD 6611","RM 3,388"
"SJM 46","RM 9,800"
"JWH 6611","RM 3,388"
"VPA 3000","RM 2,800"
"PRP 171","RM 2,800"
"JXL 6611","RM 3,388"
"SP 7007","RM 6,500"
"SJM 57","RM 9,800"
"NEH 87","RM 10,800"
"JWE 6611","RM 3,388"
"BSE 155","RM 2,500"
"RBA 119","RM 2,500"
"BSG 7878","RM 2,500"
"NEH 288","RM 6,300"
"BSG 318","RM 2,300"
"SJE 9","RM 105,888"
"NEH 8228","RM 4,300"
"SP 3838","RM 7,800"
"BSE 155","RM 2,500"
"JVR 6611","RM 3,388"
"SP 3838","RM 7,800"
"VNR 151","RM 2,800"
"JXQ 6611","RM 3,388"
"JVS 6611","RM 3,388"
"VQJ 238","RM 3,500"
"SJM 46","RM 9,800"
"NEH 2828","RM 6,300"
"VQU 318","RM 3,500"
"RBE 8899","RM 4,500"
"RBE 6688","RM 4,500"
"RBE 49","RM 7,800"
"VQU 78","RM 11,800"
"VQU 138","RM 4,800"
"RBE 585","RM 3,800"
"VQU 1688","RM 4,300"
"VQU 68","RM 17,800"
"RBE 9339","RM 3,800"
"RBE 138","RM 4,800"
"RBE 800","RM 4,300"
"VQU 63","RM 14,800"
"VMT 2727","RM 4,800"
"RBE 168","RM 8,800"
"VQU 626","RM 3,800"
"BBT 7","RM 179,888"
"CAW 7","RM 80,888"
"VQU 878","RM 3,800"
"VQU 628","RM 3,500"
"RBE 737","RM 4,300"
"BSD 7","RM 88,666"
"RBE 9966","RM 3,800"
"VQU 868","RM 5,500"
"VQU 788","RM 3,500"
"RBE 1688","RM 4,300"
"VQU 268","RM 3,800"
"VQU 93","RM 12,800"
"RBE 6888","RM 3,800"
"RBE 98","RM 13,800"
"RBE 12","RM 20,800"
"VQU 727","RM 4,800"
"VLA 18","RM 31,888"
"VQU 128","RM 4,800"
"VQU 115","RM 3,800"
"RBE 8999","RM 3,800"
"RBE 9889","RM 4,300"
"RBE 889","RM 4,300"
"VQU 777","RM 21,800"
"VQU 737","RM 4,800"
"RBE 3003","RM 3,800"
"VQU 818","RM 5,500"
"RBE 6668","RM 3,800"
"VQU 168","RM 9,800"
"VQU 881","RM 3,500"
"VQU 66","RM 30,800"
"RBE 268","RM 3,800"
"RBE 282","RM 3,800"
"RBE 8998","RM 4,300"
"VQU 2299","RM 3,800"
"VQU 889","RM 4,300"
"VQU 9998","RM 4,300"
"VQU 2727","RM 4,500"
"VQU 9966","RM 3,800"
"VQU 889","RM 4,300"
"VQU 9339","RM 4,300"
"AJY 99","RM 39,800"
"BRL 46","RM 8,800"
"VQU 3388","RM 4,300"
"VQU 8998","RM 4,500"
"VQU 1515","RM 3,800"
"TDG 22","RM 25,800"
"WLK 9","RM 178,000"
"VQU 8999","RM 4,500"
"VQU 6868","RM 4,500"
"VQU 2882","RM 3,800"
"VQU 9889","RM 4,300"
"WTV 8","RM 148,000"
"VQU 8899","RM 4,500"
"VQU 2299","RM 3,800"
"VQU 8228","RM 4,500"
"VQU 1188","RM 4,800"
"VQU 8988","RM 3,800"
"TBW 10","RM 34,800"
"TDD 9999","RM 42,800"
"TDD 33","RM 83,800"
"TDD 88","RM 89,800"
"TDD 999","RM 48,800"
"JYE 88","RM 51,800"
"SWJ 5","RM 89,800"
"JYV 5000","RM 3,800"
"WWT 6611","RM 2,500"
"W9222D","RM 2,500"
"BEH 1","POA"
"T 26","POA"
"JVW 6","POA"
"UC 86","POA"
"WVW 63","RM 19,800"
"BSB55","RM 48,800"
"MDM 8888","RM 20,800"
"NAC 8","RM 98,800"
"MAM20","RM 18,800"
"SWD222","RM 15,800"
"TQ 828","RM 16,500"
"TAN3355","RM 15,000"
"VMV 725","RM 1,600"
"VMV 723","RM 1,600"
"VMV 7186","RM 1,000"
"VMV 709","RM 1,600"
"VMV 7079","RM 1,000"
"VMV 7002","RM 1,300"
"VMV 6981","RM 1,000"
"VMV 6825","RM 1,000"
"VMV 6811","RM 1,300"
"VMV 6726","RM 1,000"
"VMV 6711","RM 1,000"
"VMV 6696","RM 1,600"
"VMV 6667","RM 1,600"
"VMV 6661","RM 1,600"
"VMV 6651","RM 1,000"
"VMV 6566","RM 1,600"
"VMV 6398","RM 1,000"
"VMV 6383","RM 1,000"
"VMV 637","RM 1,600"
"VMV 6318","RM 1,000"
"VMV 630","RM 1,600"
"VMV 6230","RM 1,000"
"VMV 6189","RM 1,000"
"VMV 6133","RM 1,300"
"VMV 613","RM 1,600"
"VMV 5966","RM 1,000"
"VMV 5812","RM 1,000"
"VMV 5788","RM 1,000"
"VMV 570","RM 1,600"
"VMV 562","RM 1,600"
"VMV 5589","RM 1,000"
"VMV 5559","RM 1,600"
"VMV 5544","RM 2,500"
"VMV 5538","RM 1,000"
"VMV 5498","RM 1,000"
"VMV 547","RM 1,300"
"VMV 5351","RM 1,000"
"VMV 5300","RM 1,000"
"VMV 529","RM 1,600"
"VMV 5257","RM 1,000"
"VMV 5211","RM 1,000"
"VMV 5195","RM 1,000"
"VMV 5180","RM 1,000"
"VMV 5071","RM 1,000"
"VMV 5051","RM 1,000"
"VMV 4992","RM 1,000"
"VMV 4949","RM 2,500"
"VMV 4889","RM 1,000"
"VMV 4879","RM 1,000"
"VMV 473","RM 1,300"
"VMV 4700","RM 1,000"
"VMV 470","RM 1,300"
"VMV 4663","RM 1,000"
"VMV 4557","RM 1,000"
"VMV 4541","RM 1,000"
"VMV 4526","RM 1,000"
"VMV 443","RM 1,600"
"VMV 433","RM 1,600"
"VMV 421","RM 1,300"
"VMV 413","RM 1,300"
"VMV 407","RM 1,000"
"VMV 4067","RM 1,000"
"VMV 4063","RM 1,000"
"VMV 402","RM 1,300"
"VMV 3999","RM 1,900"
"VMV 386","RM 1,600"
"VMV 3802","RM 1,000"
"VMV 3639","RM 1,000"
"VMV 3625","RM 1,000"
"VMV 3576","RM 1,000"
"VMV 3553","RM 2,500"
"VMV 344","RM 1,600"
"VMV 3411","RM 1,000"
"VMV 3403","RM 1,000"
"VMV 335","RM 1,900"
"VMV 3330","RM 1,600"
"VMV 3328","RM 1,300"
"BSU 31","RM 8,800"
"BSU 19","RM 15,300"
"BSU 13","RM 16,800"
"QCV 87","RM 9,900"
"VQV 87","RM 16,800"
"VMR62","RM 8,800"
"PMF19","RM 16,800"
"VMH 169","RM 1,300"
"VKE 169","RM 1,300"
"RAY 3323","RM 4,800"
"SU 13 Q","RM 12,800"
"DEP 13","RM 19,800"
"KGF 9988","RM 3,300"
"KGF 9898","RM 3,300"
"KGF 9696","RM 3,300"
"KGF 8989","RM 3,300"
"KGF 8899","RM 3,300"
"KGF 8889","RM 2,900"
"KGF 6888","RM 3,300"
"KGF 3131","RM 3,300"
"KGF 1118","RM 3,800"
"KGF 998","RM 3,300"
"KGF 996","RM 3,800"
"KGF 989","RM 3,300"
"KGF 988","RM 3,800"
"KGF 966","RM 3,300"
"KGF 933","RM 2,900"
"KGF 898","RM 3,300"
"KGF 883","RM 3,300"
"KGF 866","RM 3,300"
"KGF 833","RM 3,300"
"KGF 811","RM 3,300"
"JAM 6969","RM 3,500"
"KGF 688","RM 3,800"
"KGF 633","RM 3,300"
"KGF 500","RM 3,800"
"KGF 400","RM 3,300"
"KGF 388","RM 3,800"
"KGF 331","RM 3,300"
"KGF 288","RM 3,800"
"KGF 116","RM 2,900"
"KGF 113","RM 2,900"
"KGF 166","RM 2,900"
"KGF 126","RM 2,900"
"KGF 282","RM 3,300"
"KGF 333","RM 15,300"
"KGF 555","RM 11,300"
"KGF 911","RM 4,300"
"KGF 6666","RM 10,800"
"KGF 3333","RM 8,800"
"RBA 788","RM 2,500"
"BSN 889","RM 3,800"
"VMR 129","RM 2,800"
"VMR 1116","RM 3,500"
"VMY 939","RM 4,800"
"RBA 929","RM 2,800"
"ANU 7007","RM 2,800"
"BSA 110","RM 2,800"
"ANY 959","RM 3,800"
"ANU 9009","RM 2,800"
"APE 8","RM 128,000"
"BSA 2323","RM 2,800"
"BSN 69","RM 13,800"
"VNY 600","RM 3,300"
"VMR 575","RM 2,800"
"APD 8282","RM 3,800"
"APD 9933","RM 3,500"
"TDE 126","RM 3,800"
"APD 9988","RM 3,800"
"APD 9000","RM 3,800"
"VMY 939","RM 4,800"
"VMR 129","RM 2,800"
"KGD 6666","RM 13,800"
"RBA 929","RM 2,800"
"W 26 R","RM 39,800"
"BSG 786","RM 3,800"
"VMR 488","RM 2,800"
"KGD 666","RM 16,800"
"BSN 889","RM 3,800"
"KGD 1111","RM 13,800"
"ANY 959","RM 3,800"
"VMR 1116","RM 3,500"
"VMR 255","RM 2,800"
"VNT 881","RM 2,500"
"KGD 2727","RM 4,500"
"BSN 6","RM 93,800"
"ANU 7007","RM 2,800"
"ANU 8811","RM 2,800"
"APD 9119","RM 3,800"
"BSG 1991","RM 2,800"
"ANU 9889","RM 2,800"
"BSN 223","RM 3,500"
"BSA 110","RM 2,800"
"RBA 788","RM 2,500"
"PRP 3366","RM 2,800"
"VPA 1080","RM 1,000"
"VMP 1080","RM 1,000"
"VMU 7117","RM 2,500"
"VMY 7117","RM 2,500"
"VQU 7117","RM 2,500"
"VPK 7117","RM 2,500"
"MC6Q","RM 83,000"
"T80","RM 318,000"
"T12","RM 368,000"
"W383","RM 66,000"
"R838","RM 51,800"
"D52","RM 218,000"
"N32","RM 268,000"
"N23","RM 318,000"
"W20","RM 388,000"
"VNC 977","RM 1,600"
"VMW 977","RM 1,600"
"VMF 8628","RM 1,300"
"KFW10","RM 23,800"
"VKX 380","RM 1,600"
"VLX 380","RM 1,600"
"VMP 380","RM 1,600"
"VJQ 6626","RM 1,300"
"VLR 6626","RM 1,300"
"VMX 6626","RM 1,300"
"VJV 1369","RM 1,000"
"VNV 1369","RM 1,000"
"VJX 109","RM 1,600"
"VND 109","RM 1,600"
"VNC 109","RM 1,600"
"VGM 5999","RM 1,300"
"VMX 5999","RM 1,300"
"APK 11","RM 39,800"
"RBE 9","RM 148,000"
"VQU 9898","RM 5,800"
"VQU 73","RM 9,800"
"VQT 2888","RM 5,800"
"VQT 1212","RM 6,800"
"VQT 668","RM 5,800"
"VQT 82","RM 12,800"
"VQT 37","RM 10,800"
"VQT 20","RM 12,800"
"VQT 66","RM 30,800"
"VQT 10","RM 28,800"
"RR203","RM 18,000"
"FH 13","RM 88,000"
"BSU 8","RM 108,000"
"BHT 2","RM 118,000"
"BL 10","RM 138,000"
"VQU 3","RM 105,000"
"QM3 U","RM 65,800"
"JPR 3","RM 198,000"
"SJR 3","RM 108,000"
"VJP 3 (VIP 3)","RM 128,000"
"VQN 3","RM 103,000"
"SJP 6","RM 75,800"
"PJ 8","POA"
"BHF 9","RM 128,000"
"MDM 11","RM 68,800"
"G 29 G","RM 39,800"
"GT 100","RM 29,800"
"A 9911 A","RM 7,800"
"BS 5555","RM 78,800"
"DP 96","RM 78,800"
"NK 68","RM 68,800"
"SUKOM 68","RM 88,000"
"JFF 88","RM 68,800"
"NAJ 99","RM 39,800"
"WKX 96","RM 13,800"
"PBE 96","RM 13,800"
"WV 101","RM 18,800"
"JW 323","RM 18,800"
"MM 341","RM 7,800"
"MM 590","RM 7,800"
"L 400","RM 68,800"
"TAY 805","POA"
"MP 999","RM 68,800"
"R 1010","RM 63,800"
"FG 1133","RM 7,800"
"RAY 1133","RM 6,900"
"D 1616","RM 35,800"
"M 1818","RM 63,800"
"MC 2211","RM 9,300"
"VCV 4444","RM 7,500"
"BQQ 5555","RM 29,900"
"LG 9966","RM 11,800"
"VQV 13","RM 46,800"
"BEY 96","RM 99,800"
"AAB 666","RM 29,800"
"JYV 555","RM 19,900"
"VLP 19","RM 23,900"
"DFP 11","RM 39,800"
"UM 64","RM 29,800"
"TCX 900","RM 4,900"
"VLY 99","RM 44,800"
"SD 3 X","RM 88,800"
"WCM 85","RM 14,900"
"SW 16","RM 98,000"
"SMK 666","RM 19,900"
"JYV 29","RM 13,800"
"CU 383","RM 7,800"
"BSU 31","RM 8,800"
"BSU 19","RM 15,300"
"BSU 13","RM 16,800"
"BSU 66","RM 22,300"
"QS 55","RM 128,000"
"MX 62","RM 29,800"
"JYV 100","RM 7,300"
"JYV 82","RM 9,800"
"JYV 17","RM 15,300"
"JYV 9999","RM 18,300"
"JYV 7777","RM 13,800"
"JYV 999","RM 21,800"
"JYV 77","RM 32,800"
"JBA 53","RM 13,900"
"JBG 39","RM 13,900"
"WYN 23","RM 17,900"
"JSH 777","RM 24,900"
"ALC 55","RM 26,900"
"QTJ 11","RM 36,800"
"JM 8800","RM 16,800"
"JW 3338","RM 16,800"
"CL 232","RM 16,800"
"SB 101 J","RM 4,900"
"RBE 2828","RM 5,300"
"DFH 2888","RM 4,300"
"VQS 6868","RM 5,300"
"VPV 3131","RM 6,800"
"JGD 96","RM 20,900"
"BSS 1199","RM 6,300"
"TDA 800","RM 4,800"
"VQP 68","RM 14,900"
"VQR 66","RM 31,900"
"BBN 19","RM 35,800"
"JJD 18","RM 53,800"
"CFF 18","RM 41,800"
"BSS 18","RM 48,800"
"JYU 13","RM 24,900"
"PJP 8","RM 209,800"
"CDS 6","RM 83,800"
"BCC 6","RM 199,800"
"TCV 886","RM 3,800"
"Y 36","RM 299,800"
"WDD7","RM 228,800"
"WTT2","RM 228,800"
"BSU 63","RM 14,800"
"VQV 111","RM 39,800"
"BSB 77","RM 53,800"
"VQV 77","RM 55,800"
"VQV 11","RM 69,800"
"VQV 2","RM 199,000"
"VMM 9665","RM 1,300"
"VMM 9662","RM 1,300"
"VMM 9598","RM 1,300"
"VMM 9597","RM 1,300"
"VMM 9595","RM 1,300"
"VMM 9559","RM 1,300"
"VMM 9444","RM 1,300"
"VMM 9431","RM 1,300"
"VMM 9413","RM 1,300"
"VR8668","RM 5,888"
"DFF 2","RM 188,000"
"JLW 6","RM 139,800"
"VIPS 580","RM 7,800"
"SIS 8898","RM 9,900"
"SIS 8666","RM 6,800"
"QD 57","RM 30,800"
"A 6446 A","RM 6,800"
"NEF 35","RM 13,900"
"NEE 8898","RM 6,300"
"NEE 8181","RM 7,800"
"NEJ 686","RM 4,900"
"WRR 111","RM 28,800"
"CH 12","RM 79,800"
"VQQ 959","RM 5,300"
"SWN 2020","RM 3,900"
"SP 3333","RM 40,800"
